                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.62708,                0.57511,                 1.0819,                0.95113,                0.91565,                0.97658,                0.85301,                0.57158,                0.45201,                0.99453,             0.00018575,             0.00018575,             0.00018575
                     88,                0.60805,                0.54845,                   1.06,                0.95629,                0.93136,                0.97758,                0.85149,                0.55947,                0.43696,                0.98783,             0.00017338,             0.00017338,             0.00017338
                     89,                0.58222,                0.52862,                 1.0518,                0.94916,                0.92001,                0.96941,                0.83727,                0.58318,                 0.4626,                0.99297,               0.000161,               0.000161,               0.000161
                     90,                0.58232,                0.53712,                 1.0432,                0.95521,                0.91038,                0.96672,                0.84094,                0.55809,                0.45545,                0.98938,             0.00014862,             0.00014862,             0.00014862
                     91,                0.46914,                0.42269,                0.98083,                0.94602,                0.94231,                0.96496,                0.84943,                0.56866,                0.42126,                 1.0032,             0.00013625,             0.00013625,             0.00013625
                     92,                0.46353,                0.38151,                0.96677,                0.96911,                0.91562,                0.96763,                0.84346,                0.56572,                0.42969,                 1.0038,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.4281,                0.34225,                0.95485,                0.97124,                0.89625,                0.97249,                0.85633,                0.53541,                0.44399,                0.98342,              0.0001115,              0.0001115,              0.0001115
                     94,                0.44289,                0.34226,                0.96676,                0.91898,                0.95456,                0.97612,                0.86497,                0.54159,                0.41867,                0.98697,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.43397,                0.34889,                0.96792,                0.98237,                0.90055,                0.97156,                0.86147,                0.53759,                0.40204,                 0.9803,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.4175,                0.31875,                0.95011,                0.94279,                0.94181,                 0.9767,                0.86403,                0.53614,                0.40653,                 0.9768,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.42455,                0.33116,                0.95131,                0.94934,                0.92715,                0.97715,                 0.8567,                0.53622,                0.41184,                0.96947,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.41546,                0.32019,                0.95837,                0.96929,                0.91937,                0.97651,                0.86115,                 0.5325,                0.41291,                 0.9679,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.39422,                0.30203,                0.93493,                 0.9765,                0.92767,                0.97871,                0.86629,                0.52575,                0.40972,                0.96159,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.39277,                0.29501,                0.95155,                0.98036,                0.91102,                0.97815,                0.86506,                0.52571,                0.39841,                0.96092,             2.4875e-05,             2.4875e-05,             2.4875e-05
